ApplicationDate,Age,CreditScore,EducationLevel,Experience,LoanAmount,MaritalStatus,HomeOwnershipStatus,ID,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore
16-06-2029,34,614,High School,11,25332,Married,Other,A4185,4.51,0,Debt Consolidation,20,2448,83850,5,21.74,54
17-06-2029,44,585,Bachelor,23,23614,Married,Mortgage,A4186,29.3,1,Debt Consolidation,24,1424,87508,3,20.65,54
18-06-2029,68,652,Bachelor,44,5152,Married,Rent,A4187,23.1,0,Debt Consolidation,17,8710,39286,3,13.67,34
19-06-2029,31,517,Master,8,53988,Single,Own,A4188,20.8,0,Home,21,1208,236250,5,25.21,50
20-06-2029,35,544,High School,13,9128,Single,Mortgage,A4189,4.9,1,Debt Consolidation,22,1959,19953,7,27.71,53
21-06-2029,39,623,Master,17,17759,Married,Rent,A4190,7.73,0,Debt Consolidation,23,11731,23142,7,21.56,36
22-06-2029,44,636,Bachelor,19,11095,Married,Other,A4191,47.3,0,Home,18,1377,22124,0,14.24,46
23-06-2029,43,577,Bachelor,17,26004,Single,Rent,A4192,49.6,1,Education,28,896,37024,2,22.17,75
24-06-2029,55,570,Associate,35,30986,Married,Mortgage,A4193,3.18,3,Home,28,2736,36779,0,22.15,44
25-06-2029,18,462,Associate,0,16791,Divorced,Rent,A4194,6.51,1,Home,37,5399,581539,4,33.32,59
26-06-2029,18,622,Bachelor,0,6830,Divorced,Own,A4195,5.43,3,Auto,22,2113,9522,2,15.88,50
27-06-2029,34,475,Doctorate,14,42087,Single,Rent,A4196,17.7,1,Debt Consolidation,32,3340,38297,0,24.9,61
28-06-2029,53,636,Associate,30,24232,Single,Other,A4197,2.7,3,Home,18,6850,21190,6,26.6,42
29-06-2029,21,569,Master,0,10715,Divorced,Rent,A4198,6.36,2,Debt Consolidation,19,1420,55909,5,24.77,56
30-06-2029,18,509,Bachelor,0,26532,Married,Mortgage,A4199,10.3,1,Debt Consolidation,22,4117,40602,5,24.78,61
01-07-2029,46,558,Master,25,14043,Married,Rent,A4200,2.82,0,Auto,28,53574,56493,5,24,60
02-07-2029,42,571,High School,22,63241,Married,Rent,A4201,15.2,2,Home,27,11557,51184,2,25.6,59
03-07-2029,26,572,Bachelor,5,30784,Married,Mortgage,A4202,194,1,Auto,25,3308,43691,4,22.35,56
04-07-2029,28,593,Master,8,13316,Married,Own,A4203,16.9,1,Education,28,3024,135713,4,20.32,47
05-07-2029,28,608,Master,6,16887,Divorced,Mortgage,A4204,7.74,3,Other,22,8728,127402,5,23.1,51
06-07-2029,41,601,Bachelor,20,17841,Married,Rent,A4205,7.92,0,Home,22,16883,18696,8,19.69,35
07-07-2029,32,601,Associate,9,28308,Single,Own,A4206,14.7,1,Education,22,17531,103354,5,21.36,34
08-07-2029,45,528,Bachelor,21,12799,Divorced,Mortgage,A4207,13.2,0,Debt Consolidation,33,1171,87454,5,25.07,43
09-07-2029,18,560,High School,0,55328,Married,Mortgage,A4208,26.4,0,Home,29,532,62307,4,26.45,54
10-07-2029,29,536,Associate,7,20875,Married,Mortgage,A4209,2.55,0,Debt Consolidation,16,860,142281,3,22.48,61
11-07-2029,26,601,Associate,4,7967,Married,Own,A4210,6.27,1,Home,20,9050,50949,2,23.4,54
12-07-2029,36,600,High School,NaN,34217,Widowed,Rent,A4211,38.5,0,Other,24,907,222088,5,24.11,47
13-07-2029,33,583,Bachelor,12,19401,Single,Mortgage,A4212,12.4,1,Education,16,2460,62518,3,23.65,49
14-07-2029,49,553,Bachelor,25,25057,Married,Other,A4213,6.69,0,Debt Consolidation,16,7487,97310,8,27.1,51
15-07-2029,18,554,High School,0,34737,Married,Mortgage,A4214,19,0,Auto,22,3267,39234,10,24.51,XX
16-07-2029,40,593,Bachelor,18,20893,Single,Rent,A4215,7.21,0,Home,25,2181,35477,3,19,56
17-07-2029,46,483,High School,24,48603,Single,Mortgage,A4216,10.8,1,Education,22,4280,111745,3,27.65,39
18-07-2029,62,602,High School,38,24452,Widowed,Own,A4217,15.2,1,Home,23,14213,106543,5,23.18,46
19-07-2029,34,504,Bachelor,14,24626,Single,Mortgage,A4218,35.9,0,Auto,27,2683,195992,7,26.15,40
20-07-2029,43,625,Associate,20,49258,Married,Mortgage,A4219,2.9,1,Other,26,9000,11125,8,25.22,53
21-07-2029,18,603,Bachelor,0,51104,Divorced,Mortgage,A4220,12.7,2,Auto,30,9014,650783,3,20.87,41
22-07-2029,18,557,High School,0,13522,Single,Other,A4221,38.8,0,Auto,21,3773,4875,6,24.71,59
23-07-2029,50,646,Bachelor,30,22828,Married,Own,A4222,5.34,1,Education,19,3522,17246,7,17.43,40
24-07-2029,39,553,High School,17,16240,Widowed,Mortgage,A4223,14.9,3,Debt Consolidation,28,16631,52195,3,23.22,60
25-07-2029,54,603,High School,30,39882,Single,Mortgage,A4224,3.66,2,Home,29,33679,84846,5,25.14,XX
26-07-2029,23,599,Associate,0,15086,Single,Own,A4225,6.44,0,Debt Consolidation,25,12973,66586,2,27.51,XX
27-07-2029,46,525,Bachelor,22,13247,Single,Mortgage,A4226,45.7,1,Home,18,834,61579,4,22.89,44
28-07-2029,62,604,High School,42,30138,Single,Rent,A4227,24.6,1,Home,22,2330,46621,2,17.76,51
29-07-2029,45,634,High School,26,15800,Married,Own,A4228,31.2,2,Debt Consolidation,20,3888,87039,6,15.5,43
30-07-2029,43,583,High School,20,16618,Divorced,Rent,A4229,27,0,Auto,23,12228,108632,8,25.21,XX
31-07-2029,40,613,Associate,20,34313,Single,Rent,A4230,42.2,0,Debt Consolidation,21,3235,77465,11,29.41,51
01-08-2029,21,568,High School,0,21724,Single,Mortgage,A4231,257,3,Home,18,1638,55912,6,24.01,62
02-08-2029,56,619,High School,32,19122,Married,Mortgage,A4232,2.04,1,Home,27,1983,51199,2,20.43,49
03-08-2029,32,571,Doctorate,9,38790,Married,Mortgage,A4233,243,1,Home,27,1163,51263,7,22.07,51
04-08-2029,46,554,High School,25,5008,Married,Mortgage,A4234,42.1,0,Home,25,17305,124512,4,18.88,41
05-08-2029,21,518,Associate,0,24175,Divorced,Mortgage,A4235,24.2,0,Education,25,2141,12897,3,28,XX
06-08-2029,25,619,Doctorate,1,22297,Divorced,Mortgage,A4236,3.84,2,Auto,31,820,29543,5,19.56,60
07-08-2029,57,559,High School,34,49027,Single,Mortgage,A4237,12.3,2,Education,19,7149,27380,6,25.4,55
08-08-2029,35,617,Bachelor,NaN,58896,Single,Rent,A4238,15.3,0,Auto,30,4053,125969,5,30.76,50
09-08-2029,57,581,Associate,38,26234,Married,Mortgage,A4239,28,2,Home,24,8176,347872,5,24.56,41
10-08-2029,39,515,Master,13,15803,Single,Own,A4240,5.3,4,Auto,22,1217,12735,4,24.8,49
11-08-2029,18,602,Master,0,24743,Single,Rent,A4241,24.8,2,Debt Consolidation,24,1049,63171,6,23.74,60
12-08-2029,50,549,Associate,26,38892,Single,Rent,A4242,31.1,1,Debt Consolidation,23,1158,50185,7,26.25,53
13-08-2029,32,588,High School,6,17577,Divorced,Other,A4243,1.61,1,Home,26,3949,43804,1,23.37,59
14-08-2029,48,575,Associate,25,7841,Married,Mortgage,A4244,34.2,0,Debt Consolidation,24,7774,313059,3,21.93,44
15-08-2029,40,626,Doctorate,19,32217,Divorced,Mortgage,A4245,2.75,1,Home,24,3052,39038,2,19.44,36
16-08-2029,21,578,High School,1,7534,Married,Own,A4246,4.06,0,Home,32,7055,36798,3,24.19,55
17-08-2029,41,578,Doctorate,21,63013,Married,Mortgage,A4247,34.2,3,Education,28,2419,36453,5,26.76,56
18-08-2029,66,612,Master,43,24922,Married,Rent,A4248,25,2,Other,33,7002,55075,7,19.46,53
19-08-2029,45,510,High School,20,5176,Married,Rent,A4249,268,1,Home,27,604,16612,3,20.21,58
20-08-2029,39,577,Bachelor,17,19637,Single,Rent,A4250,34.7,2,Debt Consolidation,27,448,52433,3,22.22,51
21-08-2029,52,639,High School,31,12537,Single,Mortgage,A4251,9.03,1,Home,22,10460,43684,7,24.38,56
22-08-2029,42,589,Bachelor,18,10715,Widowed,Own,A4252,5.01,0,Debt Consolidation,24,2884,146997,5,19.57,60
23-08-2029,42,603,Associate,21,9819,Single,Mortgage,A4253,208,1,Debt Consolidation,27,8847,56327,8,17.05,42
24-08-2029,26,579,Associate,3,13458,Divorced,Own,A4254,19.2,0,Other,28,5501,88768,4,21.69,53
25-08-2029,42,548,Associate,19,60597,Married,Mortgage,A4255,282,2,Debt Consolidation,38,547,11592,8,25.14,65
26-08-2029,52,535,Bachelor,30,13354,Divorced,Rent,A4256,16.9,2,Other,15,42635,388440,4,23.6,36
27-08-2029,29,593,Bachelor,7,8745,Single,Own,A4257,2.29,0,Debt Consolidation,19,391,14467,5,21.07,40
28-08-2029,57,618,Bachelor,31,10748,Single,Mortgage,A4258,29.7,1,Auto,19,1543,15546,2,15.47,44
29-08-2029,38,611,Doctorate,14,42209,Married,Rent,A4259,1.32,1,Other,20,1745,228228,5,20.78,53
30-08-2029,29,554,Bachelor,4,17522,Divorced,Rent,A4260,33,0,Other,18,4486,10866,7,19.98,54
31-08-2029,51,607,Bachelor,30,23276,Single,Rent,A4261,514,2,Home,24,2488,28512,4,22.99,44
01-09-2029,36,531,Associate,11,9287,Divorced,Own,A4262,2.85,0,Auto,26,941,27203,3,21.77,44
02-09-2029,49,568,High School,25,36297,Single,Other,A4263,372,1,Debt Consolidation,19,1308,51406,4,28.58,XX
03-09-2029,36,560,High School,16,9856,Divorced,Other,A4264,24.7,2,Education,28,2142,35456,5,21.2,XX
04-09-2029,39,620,Associate,NaN,25519,Divorced,Mortgage,A4265,2.9,1,Debt Consolidation,28,2168,165666,0,27.52,45
05-09-2029,45,623,Bachelor,24,12894,Single,Mortgage,A4266,43.3,1,Debt Consolidation,20,6716,41470,6,18.41,70
06-09-2029,43,579,Bachelor,24,6631,Married,Rent,A4267,16.5,0,Other,25,4487,24099,6,18.44,42
07-09-2029,18,381,Doctorate,0,19868,Married,Mortgage,A4268,42.3,3,Other,32,1809,263752,4,34.59,51
08-09-2029,26,476,Associate,2,8633,Single,Mortgage,A4269,26,1,Auto,26,1839,125699,5,28.95,48
09-09-2029,51,617,Bachelor,28,33001,Married,Rent,A4270,3.04,0,Home,11,5537,91985,0,23.44,53
10-09-2029,38,500,Master,16,16360,Single,Own,A4271,612,0,Education,25,893,167834,7,24.53,51
11-09-2029,33,450,Associate,11,10964,Single,Other,A4272,27.6,2,Home,23,27805,28939,2,27.84,55
12-09-2029,23,436,Associate,0,38893,Single,Rent,A4273,2.2,0,Home,32,1326,352037,9,30.94,67
13-09-2029,27,570,Master,7,22614,Single,Mortgage,A4274,13.8,1,Auto,21,4496,237059,3,24.73,49
14-09-2029,18,433,Bachelor,0,25297,Married,Mortgage,A4275,7.08,1,Debt Consolidation,23,4676,39114,4,28.88,40
15-09-2029,38,594,Bachelor,NaN,18026,Married,Mortgage,A4276,10.5,1,Auto,19,3388,202989,5,22.48,41
16-09-2029,32,627,Master,11,16312,Widowed,Mortgage,A4277,2.54,3,Debt Consolidation,30,15312,68449,7,22.05,50
17-09-2029,28,572,Bachelor,6,22003,Single,Rent,A4278,5.37,0,Home,20,10462,118541,8,21.27,48
18-09-2029,39,602,High School,19,26942,Single,Rent,A4279,23.9,2,Education,27,1704,76211,3,21.95,47
19-09-2029,44,589,Master,23,11515,Single,Rent,A4280,7.9,5,Other,18,838,117465,6,31.63,61
20-09-2029,65,589,Master,43,23330,Divorced,Mortgage,A4281,12.3,2,Other,20,742,22921,5,21.67,48
21-09-2029,21,557,High School,2,17457,Married,Mortgage,A4282,15.8,0,Home,23,345,89826,6,21.06,49
22-09-2029,53,521,Bachelor,29,29356,Married,Other,A4283,16.8,1,Education,24,14320,275666,6,27.35,55
23-09-2029,51,641,Associate,30,24809,Single,Mortgage,A4284,3.07,1,Debt Consolidation,24,6633,29410,8,19.71,50
24-09-2029,30,628,Master,10,44341,Married,Mortgage,A4285,31,2,Debt Consolidation,26,1986,109589,7,20.26,62
25-09-2029,42,532,High School,22,45412,Married,Mortgage,A4286,450,0,Home,19,1444,87382,7,25.47,59
26-09-2029,34,580,Associate,7,14141,Single,Mortgage,A4287,23.4,1,Home,18,975,18929,7,26.32,56
27-09-2029,42,587,Bachelor,23,23130,Single,Rent,A4288,36.8,1,Debt Consolidation,18,5656,43212,4,22.9,56
28-09-2029,58,565,Bachelor,35,44724,Single,Mortgage,A4289,33.2,2,Debt Consolidation,27,1053,108766,3,24.06,72
29-09-2029,47,607,Doctorate,26,12377,Married,Mortgage,A4290,2.05,0,Home,23,11650,66323,7,22.04,61
30-09-2029,46,644,Doctorate,24,17093,Married,Rent,A4291,19,0,Home,14,2077,94289,3,18,37
01-10-2029,34,492,High School,10,32479,Single,Own,A4292,22.9,2,Education,30,3037,10252,4,22.51,55
02-10-2029,22,528,High School,0,9668,Married,Other,A4293,23.9,1,Home,17,4199,74950,1,26.36,55
03-10-2029,37,617,High School,16,22435,Single,Own,A4294,15.1,0,Debt Consolidation,20,1198,141943,9,24.53,50
04-10-2029,54,623,Associate,34,20282,Single,Rent,A4295,268,1,Home,34,1691,70655,9,19.46,39
05-10-2029,21,523,Bachelor,0,34271,Single,Own,A4296,1.27,0,Debt Consolidation,26,4884,15235,5,27.9,51
06-10-2029,27,534,Associate,3,11928,Single,Other,A4297,3.07,0,Debt Consolidation,39,8875,41538,2,23.64,55
07-10-2029,41,561,High School,19,46898,Married,Mortgage,A4298,10,3,Debt Consolidation,26,7523,100494,4,23.4,57
08-10-2029,28,570,High School,5,23488,Single,Mortgage,A4299,3.71,1,Education,16,647,82615,3,24.46,54
09-10-2029,30,584,High School,8,34080,Divorced,Rent,A4300,14.6,0,Education,22,1826,24884,3,28.42,51
10-10-2029,34,614,Bachelor,13,19079,Married,Mortgage,A4301,3.65,3,Home,33,5153,46855,8,23.76,47
11-10-2029,23,536,Bachelor,0,9156,Single,Rent,A4302,15.2,2,Home,33,2024,28260,9,23.83,56
12-10-2029,28,535,Associate,4,41024,Divorced,Mortgage,A4303,5.64,0,Home,22,17155,25935,6,26.56,XX
13-10-2029,48,574,High School,25,30275,Married,Rent,A4304,1.54,0,Debt Consolidation,21,4668,62181,6,22.34,57
14-10-2029,24,592,Bachelor,0,10761,Married,Mortgage,A4305,4.5,0,Home,21,1885,20849,4,21.05,43
15-10-2029,20,533,Master,0,18184,Married,Rent,A4306,161,2,Auto,20,2922,51420,3,24.48,53
16-10-2029,32,560,High School,6,28653,Divorced,Own,A4307,5.46,2,Education,21,8780,44954,6,22.07,XX
17-10-2029,48,523,Associate,26,46965,Married,Mortgage,A4308,1.73,0,Auto,20,2099,55969,3,34.43,51
18-10-2029,37,591,High School,NaN,38042,Married,Rent,A4309,30.8,2,Education,19,11797,249560,4,20.57,49
19-10-2029,34,558,High School,14,17255,Married,Own,A4310,4.02,1,Debt Consolidation,25,1728,120684,6,31.75,56
20-10-2029,40,605,Bachelor,18,22948,Married,Mortgage,A4311,24.7,1,Auto,24,1146,486523,6,24.75,32
21-10-2029,19,566,Associate,0,15966,Married,Other,A4312,28.8,1,Home,16,2343,168477,6,27.37,56
22-10-2029,45,563,Bachelor,21,17554,Single,Own,A4313,11.7,3,Debt Consolidation,28,1768,188019,7,24.71,48
23-10-2029,44,574,Master,18,25098,Single,Own,A4314,3.75,2,Other,21,1622,37919,3,27.93,64
24-10-2029,35,594,Bachelor,11,46808,Married,Other,A4315,1.71,1,Debt Consolidation,25,21692,23675,4,23.39,49
25-10-2029,52,630,Associate,29,6628,Widowed,Mortgage,A4316,1.59,1,Debt Consolidation,27,414,34089,8,17.76,39
26-10-2029,26,564,Associate,4,15568,Married,Mortgage,A4317,11.3,2,Auto,27,6834,76160,8,21.27,48
27-10-2029,53,560,High School,32,28869,Single,Mortgage,A4318,6.96,1,Auto,28,939,70202,2,21.61,51
28-10-2029,41,637,Bachelor,17,59192,Married,Mortgage,A4319,5.32,2,Home,19,8281,77513,8,33.08,47
29-10-2029,35,533,High School,11,11901,Married,Own,A4320,44.3,2,Education,26,663,41116,3,27.67,64
30-10-2029,39,578,High School,19,15283,Single,Rent,A4321,16.5,1,Auto,30,4097,94741,2,25.87,56
31-10-2029,38,492,High School,14,11501,Divorced,Mortgage,A4322,27.6,0,Other,34,1385,58177,4,26.16,56
01-11-2029,54,521,High School,30,11636,Married,Mortgage,A4323,28.3,1,Home,24,988,95046,4,23.9,XX
02-11-2029,27,464,Bachelor,7,7620,Married,Mortgage,A4324,5.15,0,Debt Consolidation,19,1338,49284,9,29.16,55
03-11-2029,30,498,Master,6,7449,Divorced,Mortgage,A4325,4.55,2,Debt Consolidation,15,4243,53746,7,25.4,62
04-11-2029,52,650,Doctorate,32,7415,Divorced,Mortgage,A4326,15.7,1,Education,30,2270,17247,9,15.75,40
05-11-2029,32,474,Bachelor,14,32837,Divorced,Own,A4327,35.1,1,Home,35,3141,14783,6,30.17,59
06-11-2029,50,587,High School,28,21626,Single,Mortgage,A4328,3.25,0,Debt Consolidation,21,1612,154574,6,22.84,40
07-11-2029,60,577,High School,37,11903,Married,Rent,A4329,5.83,2,Debt Consolidation,26,7868,96771,6,18.73,59
08-11-2029,35,548,High School,13,19830,Married,Mortgage,A4330,18.5,2,Education,24,1796,147143,8,25.24,46
09-11-2029,48,564,High School,20,35496,Single,Mortgage,A4331,11,1,Home,13,3650,83052,4,22.33,48
10-11-2029,26,513,Bachelor,3,80507,Married,Mortgage,A4332,5.21,0,Other,21,6230,110663,7,34.94,57
11-11-2029,49,591,Master,26,24732,Single,Rent,A4333,4.13,1,Home,23,3316,73191,4,21.77,39
12-11-2029,42,607,Bachelor,19,18957,Married,Mortgage,A4334,10.8,1,Debt Consolidation,32,6880,47866,3,23.15,40
13-11-2029,45,648,Master,23,9333,Divorced,Own,A4335,29.2,1,Home,29,4220,383084,6,15.49,40
14-11-2029,32,563,Bachelor,8,14290,Single,Rent,A4336,5.28,2,Auto,24,6693,148300,5,25.68,69
15-11-2029,20,537,Associate,0,24475,Single,Mortgage,A4337,6.11,3,Home,32,6978,52201,5,24.03,64
16-11-2029,46,663,Master,23,7750,Married,Mortgage,A4338,3.05,1,Auto,16,3551,25339,4,18.24,40
17-11-2029,18,460,Bachelor,0,15087,Single,Own,A4339,2.98,2,Debt Consolidation,26,349,68587,4,24,63
18-11-2029,36,490,Associate,17,18114,Married,Rent,A4340,17.6,1,Debt Consolidation,22,3232,475791,3,23.37,57
19-11-2029,51,601,Associate,30,27403,Single,Mortgage,A4341,5.39,1,Debt Consolidation,14,5489,20891,6,26.1,50
20-11-2029,42,564,High School,19,22334,Married,Mortgage,A4342,6.65,3,Education,18,445,32810,4,29.44,51
21-11-2029,63,665,Master,41,19659,Divorced,Rent,A4343,6.13,0,Debt Consolidation,16,3398,68201,10,17.65,40
22-11-2029,52,510,High School,29,24180,Single,Other,A4344,21.1,1,Other,30,10758,22237,6,30.44,50
23-11-2029,32,571,Bachelor,10,25550,Married,Mortgage,A4345,33.9,5,Debt Consolidation,20,7077,59152,3,26.29,55
24-11-2029,40,606,Bachelor,17,16055,Married,Own,A4346,21.8,1,Debt Consolidation,23,15888,210392,5,17.59,33
25-11-2029,39,640,Bachelor,18,39070,Married,Rent,A4347,2.83,2,Auto,26,1191,53396,4,19.77,47
26-11-2029,21,530,High School,0,11585,Single,Mortgage,A4348,334,1,Debt Consolidation,22,7611,107104,3,23.71,55
27-11-2029,28,430,High School,7,17940,Divorced,Mortgage,A4349,41.1,2,Auto,29,7129,373439,5,25.54,42
28-11-2029,33,636,Bachelor,14,9158,Divorced,Rent,A4350,6.88,0,Home,25,2611,52487,7,19.23,50
29-11-2029,18,580,Associate,0,30843,Married,Rent,A4351,3.01,0,Debt Consolidation,22,2498,103548,7,23.85,51
30-11-2029,40,592,High School,14,13507,Divorced,Own,A4352,5.82,0,Debt Consolidation,17,3396,44902,8,17.61,42
01-12-2029,37,575,Doctorate,17,14177,Single,Rent,A4353,10.7,1,Debt Consolidation,24,1602,89233,11,25.02,41
02-12-2029,19,605,Bachelor,0,15298,Divorced,Rent,A4354,4.19,1,Debt Consolidation,21,8450,120974,5,22.94,XX
03-12-2029,44,537,Bachelor,20,41767,Widowed,Mortgage,A4355,4.36,1,Auto,18,2066,95828,4,26.31,XX
04-12-2029,48,549,Bachelor,21,52058,Single,Rent,A4356,1.52,4,Home,30,6092,94032,5,29.82,59
05-12-2029,42,591,High School,20,30299,Married,Own,A4357,4.32,0,Auto,25,713,210362,8,19.26,50
06-12-2029,36,605,Doctorate,NaN,21725,Married,Own,A4358,2.94,1,Home,25,3909,88435,1,20.31,36
07-12-2029,47,639,Doctorate,27,12343,Single,Rent,A4359,4.47,0,Debt Consolidation,31,2760,15073,6,24.94,54
08-12-2029,48,626,Bachelor,23,35826,Married,Own,A4360,5.69,0,Debt Consolidation,33,944,158173,4,21.02,53
09-12-2029,43,637,Bachelor,22,41434,Married,Other,A4361,24,0,Other,25,3667,36521,8,23.06,47
10-12-2029,30,584,Bachelor,8,10672,Divorced,Rent,A4362,7.65,0,Auto,30,7754,22396,7,19.17,41
11-12-2029,43,643,Bachelor,24,22940,Single,Own,A4363,3.16,1,Other,17,1168,155792,5,17.97,53
12-12-2029,54,547,Associate,30,43888,Married,Own,A4364,513,0,Auto,35,2125,43005,5,28.41,54
13-12-2029,32,628,Bachelor,7,13880,Married,Own,A4365,7.16,1,Auto,21,6525,89584,4,22.97,36
14-12-2029,65,568,High School,41,15653,Widowed,Rent,A4366,1.72,1,Debt Consolidation,28,1648,34742,3,24.54,XX
15-12-2029,33,545,Associate,14,21877,Married,Own,A4367,4.28,2,Home,18,4406,27872,2,29.24,59
16-12-2029,40,587,Associate,16,11108,Married,Rent,A4368,5.08,0,Home,24,2137,168426,10,26.79,XX
17-12-2029,31,613,High School,12,12697,Married,Mortgage,A4369,21,3,Debt Consolidation,26,1268,11334,7,14.78,57
18-12-2029,42,635,Bachelor,19,12067,Single,Rent,A4370,3.14,1,Auto,25,4052,123801,9,21.71,XX
19-12-2029,19,499,Associate,0,18685,Single,Own,A4371,5.19,2,Auto,22,6091,64554,2,27.9,XX
20-12-2029,33,594,Bachelor,10,37800,Married,Rent,A4372,3.26,3,Other,12,14074,15519,3,28.15,XX
21-12-2029,26,440,High School,2,11011,Single,Rent,A4373,3.88,3,Home,19,1573,153753,4,22.04,36
22-12-2029,41,552,Associate,19,12448,Single,Own,A4374,49.4,1,Other,14,3607,106524,6,23.41,56
23-12-2029,51,506,Bachelor,32,32528,Married,Mortgage,A4375,6.05,0,Other,15,394,154152,4,32.94,36
24-12-2029,47,567,Associate,23,18286,Married,Mortgage,A4376,9.71,2,Debt Consolidation,26,3350,25585,4,25.49,49
25-12-2029,18,553,Bachelor,0,50497,Divorced,Other,A4377,4.47,0,Home,19,8155,19421,5,23.73,56
26-12-2029,64,647,Bachelor,43,21282,Married,Mortgage,A4378,24.4,1,Education,27,6853,13370,4,20.68,48
27-12-2029,43,561,Associate,24,9616,Married,Rent,A4379,16.1,3,Other,36,1921,2973,6,26.67,55
28-12-2029,30,620,Associate,4,37007,Married,Mortgage,A4380,5.4,0,Debt Consolidation,21,5116,90405,9,28.01,48
29-12-2029,41,530,High School,16,32001,Divorced,Own,A4381,14.4,1,Education,27,1032,17562,4,23.93,57
30-12-2029,42,550,Bachelor,18,31647,Married,Mortgage,A4382,3.64,3,Home,27,1174,85429,1,23.03,60
31-12-2029,31,516,Bachelor,10,8437,Single,Rent,A4383,21.8,1,Auto,19,2141,105315,2,21.3,37
01-01-2030,42,530,Bachelor,24,30264,Single,Rent,A4384,18.1,2,Debt Consolidation,30,4256,20078,4,24.42,56
02-01-2030,32,605,High School,8,17566,Divorced,Rent,A4385,30.3,2,Auto,17,1544,39252,7,19.47,57
03-01-2030,35,524,High School,12,44490,Divorced,Mortgage,A4386,3.01,0,Debt Consolidation,23,1410,106100,4,35.36,48
04-01-2030,31,547,High School,9,15194,Married,Mortgage,A4387,9.21,2,Debt Consolidation,29,5892,33375,4,26.96,40
05-01-2030,22,601,High School,0,22588,Single,Rent,A4388,2.55,1,Education,27,2580,74142,5,21.45,49
06-01-2030,41,586,Associate,17,17013,Divorced,Other,A4389,17,2,Debt Consolidation,23,5759,89507,3,21.59,51
07-01-2030,47,542,High School,24,16020,Married,Own,A4390,13.8,2,Other,23,1815,11427,3,27.14,55
08-01-2030,46,439,Bachelor,23,10669,Single,Rent,A4391,14.7,5,Education,20,2134,98457,4,28.15,59
09-01-2030,49,566,Doctorate,26,22033,Single,Rent,A4392,510,0,Home,19,2771,185292,4,22.82,68
10-01-2030,43,472,High School,19,15300,Divorced,Mortgage,A4393,18.4,1,Debt Consolidation,20,9994,10828,6,32.84,51
11-01-2030,33,523,Master,12,91275,Single,Other,A4394,23.1,2,Debt Consolidation,22,1929,61722,7,37.55,59
12-01-2030,50,564,Bachelor,27,9660,Divorced,Rent,A4395,267,1,Auto,24,1492,7972,3,24.06,57
13-01-2030,23,547,Master,2,59905,Married,Mortgage,A4396,1.41,2,Home,17,703,11965,5,28.84,64
14-01-2030,29,593,High School,4,18521,Divorced,Other,A4397,37.3,3,Auto,20,5876,134611,6,20.54,51
15-01-2030,28,457,Master,4,34219,Married,Rent,A4398,29.1,0,Home,31,4024,37389,5,34.86,58
16-01-2030,52,663,Doctorate,31,11949,Single,Rent,A4399,4.01,1,Education,34,1067,28522,6,18.55,39
17-01-2030,51,666,Master,28,25835,Married,Own,A4400,4.26,3,Home,25,590,12968,2,14.9,35
18-01-2030,45,614,Bachelor,24,21715,Single,Rent,A4401,30.2,3,Home,22,12158,13015,5,25.88,56
19-01-2030,52,535,High School,26,20899,Married,Mortgage,A4402,4.31,1,Home,24,9064,230157,6,29.37,64
20-01-2030,29,470,High School,3,121126,Single,Own,A4403,20.2,1,Debt Consolidation,26,2448,43684,6,42.33,53
21-01-2030,44,615,Master,20,28862,Married,Rent,A4404,10.4,2,Education,35,5597,75817,3,21.87,35
22-01-2030,38,495,High School,12,20597,Divorced,Mortgage,A4405,13,0,Auto,22,7631,313052,3,30.57,48
23-01-2030,50,574,Associate,27,17742,Married,Mortgage,A4406,18.1,3,Debt Consolidation,25,4780,84145,5,19.07,39
24-01-2030,38,524,High School,14,23089,Single,Mortgage,A4407,20.9,3,Debt Consolidation,21,1946,20428,3,27.63,46
25-01-2030,35,455,Bachelor,10,31919,Divorced,Mortgage,A4408,16.4,0,Home,16,658,78060,3,30.79,53
26-01-2030,46,587,Bachelor,24,16879,Married,Own,A4409,7.22,0,Other,27,2300,122858,3,21.49,41
27-01-2030,50,630,Doctorate,27,20222,Married,Rent,A4410,27.8,1,Debt Consolidation,33,4231,87742,7,21.26,48
28-01-2030,31,521,Master,7,12480,Married,Mortgage,A4411,3.02,3,Home,23,1415,20390,7,25.99,54
29-01-2030,39,592,Bachelor,NaN,18967,Married,Own,A4412,1.94,0,Home,28,3047,86750,5,23.13,40
30-01-2030,27,565,Bachelor,6,25264,Single,Other,A4413,19.8,1,Debt Consolidation,29,3406,101998,1,20.62,38
31-01-2030,18,594,Associate,0,21247,Married,Mortgage,A4414,5.19,1,Debt Consolidation,28,14031,30557,6,23.76,54
01-02-2030,42,507,High School,20,23407,Married,Mortgage,A4415,2.99,0,Debt Consolidation,23,1210,47468,2,24.96,41
02-02-2030,47,592,Master,29,11757,Married,Own,A4416,27.4,2,Home,28,15711,19974,4,21.15,60
03-02-2030,43,652,Bachelor,22,30752,Divorced,Own,A4417,8.04,0,Debt Consolidation,21,5162,48669,8,22.23,49
04-02-2030,18,498,Associate,0,27788,Single,Other,A4418,44.7,0,Education,27,2646,123119,5,28,XX
