ID,ApplicationDate,AnnualIncome,EmploymentStatus,Experience,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved
A1888,03-03-2023,33561,Employed,21,72,3,354,3,0,0,12,248,18920,33894,0
A1889,04-03-2023,26861,Employed,10,72,2,563,2,0,0,19,2518,30016,170568,0
A1890,05-03-2023,24277,Employed,15,96,2,533,2,1,0,12,4174,26010,296478,0
A1891,06-03-2023,33750,Employed,23,36,3,508,2,0,0,19,626,45754,24429,0
A1892,07-03-2023,32397,Employed,18,48,2,892,2,0,0,10,251,10111,69324,0
A1893,08-03-2023,40422,Employed,13,24,0,887,3,1,0,13,3131,37666,23080,0
A1894,09-03-2023,29637,Employed,17,36,1,319,2,0,0,10,1819,9835,3724,0
A1895,10-03-2023,63443,Employed,19,48,5,433,4,1,0,27,1176,17976,229105,0
A1896,11-03-2023,66715,Unemployed,14,24,0,450,2,0,0,11,3673,13896,114218,0
A1897,12-03-2023,57935,Employed,15,24,0,248,3,0,0,4,332,18215,27842,0
A1898,13-03-2023,88691,Employed,38,48,2,547,3,0,0,2,119,3314,126912,1
A1899,14-03-2023,31902,Employed,20,72,1,290,3,0,1,9,581,74643,36145,0
A1900,15-03-2023,34995,Employed,14,48,2,226,4,0,0,11,666,89176,389340,0
A1901,16-03-2023,48142,Employed,25,96,0,236,3,0,0,7,1561,27775,74574,0
A1902,17-03-2023,39954,Employed,12,96,3,257,4,0,0,23,1068,7059,51406,0
A1903,18-03-2023,27861,Employed,28,120,0,594,2,0,0,11,802,70739,19643,0
A1904,19-03-2023,42634,Employed,23,36,2,280,3,0,0,3,858,11196,39500,0
A1905,20-03-2023,147328,Self-Employed,16,60,2,400,1,0,0,23,294,35030,19506,1
A1906,21-03-2023,29595,Employed,23,72,0,612,2,0,0,4,3381,1221,96315,0
A1907,22-03-2023,23483,Employed,0,108,0,444,2,0,0,12,2064,151652,8463,0
A1908,23-03-2023,27328,Employed,1,48,3,552,4,0,0,10,890,4924,21733,0
A1909,24-03-2023,66996,Employed,2,60,2,555,6,0,0,22,903,48410,184930,1
A1910,25-03-2023,53701,Employed,16,72,0,706,3,0,0,3,960,54943,1340,0
A1911,26-03-2023,87984,Employed,37,36,0,809,5,0,0,7,154,34750,7077,0
A1912,27-03-2023,252597,Unemployed,44,60,4,723,7,0,0,12,1062,22184,79753,1
A1913,28-03-2023,73636,Employed,22,60,3,278,2,0,0,20,987,5691,19675,1
A1914,29-03-2023,95828,Self-Employed,23,60,0,1161,1,0,0,25,364,17031,3804,0
A1915,30-03-2023,296766,Employed,0,84,0,205,1,1,0,5,338,13620,66096,1
A1916,31-03-2023,63386,Employed,9,48,2,281,1,0,0,21,231,27634,6794,1
A1917,01-04-2023,41187,Employed,8,60,1,411,3,0,0,16,1622,38388,62306,0
A1918,02-04-2023,28358,Employed,10,120,0,313,4,1,0,22,324,32615,72997,0
A1919,03-04-2023,81678,Self-Employed,13,72,3,536,2,0,0,13,478,27266,53464,0
A1920,04-04-2023,18194,Employed,12,36,1,1067,3,0,0,20,931,8874,33781,0
A1921,05-04-2023,15000,Employed,0,36,1,1257,3,0,0,11,3169,16669,294483,0
A1922,06-04-2023,29707,Self-Employed,24,48,1,338,4,0,0,6,2712,6048,36661,0
A1923,07-04-2023,82684,Employed,6,24,3,574,2,0,0,23,995,378159,9934,1
A1924,08-04-2023,71507,Employed,19,36,1,165,0,0,0,8,952,134099,10987,1
A1925,09-04-2023,46646,Employed,39,60,2,548,3,0,1,26,1054,35041,23117,0
A1926,10-04-2023,64082,Employed,7,36,0,821,5,1,0,24,983,13321,57086,0
A1927,11-04-2023,65300,Employed,0,24,1,814,1,0,0,3,1916,15410,59648,0
A1928,12-04-2023,66761,Employed,15,48,4,428,2,0,0,20,1053,8474,1035150,1
A1929,13-04-2023,49339,Employed,28,24,2,272,4,0,0,9,1488,8293,49537,0
A1930,14-04-2023,102366,Employed,38,36,4,664,8,0,0,28,426,34401,72838,1
A1931,15-04-2023,54667,Employed,3,84,3,186,2,0,0,14,74,34960,1550,0
A1932,16-04-2023,44414,Self-Employed,18,24,0,163,2,1,0,21,644,25562,220956,0
A1933,17-04-2023,59133,Employed,9,36,1,120,3,0,0,25,886,97999,8632,0
A1934,18-04-2023,32582,Employed,14,36,3,512,3,0,0,22,2719,10599,1876,0
A1935,19-04-2023,73981,Employed,47,24,0,940,2,0,0,27,700,10919,1280,1
A1936,20-04-2023,51200,Employed,0,24,2,253,4,0,0,3,100,16959,71331,0
A1937,21-04-2023,49550,Self-Employed,22,60,3,479,3,0,0,18,825,17972,57112,0
A1938,22-04-2023,53943,Self-Employed,22,72,2,291,2,0,0,6,5685,18907,4981,0
A1939,23-04-2023,82871,Employed,30,60,1,580,6,0,0,5,523,40070,93604,0
A1940,24-04-2023,23584,Employed,19,48,1,358,3,0,0,28,2373,28555,195649,0
A1941,25-04-2023,49177,Unemployed,20,48,3,236,4,0,0,1,124,12837,15006,0
A1942,26-04-2023,142017,Self-Employed,10,36,1,191,8,0,0,28,844,3967,230729,1
A1943,27-04-2023,32485,Employed,21,60,0,532,2,0,0,14,787,23488,98103,0
A1944,28-04-2023,82980,Employed,13,96,0,344,3,0,0,8,697,54672,1865,0
A1945,29-04-2023,50428,Employed,26,72,2,399,2,0,0,26,1153,7482,18504,0
A1946,30-04-2023,91360,Employed,16,60,1,305,4,0,0,29,1315,106988,4653,0
A1947,01-05-2023,26125,Employed,20,60,1,348,4,0,0,5,2642,15070,110720,0
A1948,02-05-2023,60328,Employed,17,48,2,321,2,0,0,12,1061,16229,40808,1
A1949,03-05-2023,215681,Self-Employed,30,36,1,448,3,0,0,3,1507,251576,2174,1
A1950,04-05-2023,41691,Employed,18,24,1,449,5,0,0,27,7419,35132,73356,0
A1951,05-05-2023,58838,Employed,0,60,0,404,2,0,0,16,811,24534,72406,1
A1952,06-05-2023,70497,Employed,30,48,3,408,6,0,0,8,1295,13492,23866,0
A1953,07-05-2023,15000,Employed,6,60,0,268,2,0,0,4,1084,35810,123537,0
A1954,08-05-2023,45189,Employed,9,48,2,311,3,0,0,10,1528,50074,24252,0
A1955,09-05-2023,24067,Employed,9,24,0,285,2,0,0,3,783,68202,1974,0
A1956,10-05-2023,82925,Employed,36,48,0,599,2,0,0,28,301,104674,8174,0
A1957,11-05-2023,41040,Employed,0,60,4,181,3,0,1,22,640,6529,100038,0
A1958,12-05-2023,26345,Employed,57,60,1,393,3,0,0,16,2944,32612,2827,0
A1959,13-05-2023,33625,Employed,31,36,0,564,3,0,0,15,552,9617,32001,0
A1960,14-05-2023,50289,Employed,22,48,1,328,3,0,0,14,5134,65362,41500,0
A1961,15-05-2023,233264,Employed,17,36,2,317,2,0,0,14,3899,63285,9746,1
A1962,16-05-2023,140691,Employed,21,12,1,658,6,0,0,23,757,19175,93901,1
A1963,17-05-2023,66472,Employed,24,84,3,165,4,0,0,8,6106,43817,7286,0
A1964,18-05-2023,98484,Employed,26,72,0,299,0,0,0,23,163,106739,1495,1
A1965,19-05-2023,84467,Employed,21,72,0,507,2,0,0,2,546,9016,84240,0
A1966,20-05-2023,32310,Employed,17,60,1,487,3,0,0,5,2308,5403,26227,0
A1967,21-05-2023,27766,Employed,15,36,0,404,1,0,0,19,1627,30087,4030,0
A1968,22-05-2023,84794,Employed,16,60,0,352,3,1,0,25,2319,8160,54857,0
A1969,23-05-2023,31514,Self-Employed,16,48,0,592,4,0,0,24,484,10124,193030,0
A1970,24-05-2023,127404,Employed,31,60,0,181,4,0,0,24,424,15034,11529,1
A1971,25-05-2023,21556,Employed,27,108,2,394,4,0,1,10,627,12892,5612,0
A1972,26-05-2023,22681,Unemployed,0,48,2,397,5,0,0,22,2478,12060,17725,0
A1973,27-05-2023,106728,Employed,23,72,3,618,2,0,0,22,3755,15033,176310,0
A1974,28-05-2023,33051,Employed,19,36,0,293,7,0,0,10,6881,9877,143794,0
A1975,29-05-2023,38932,Employed,13,48,1,343,3,0,1,16,832,72372,80734,0
A1976,30-05-2023,63145,Employed,13,72,1,510,2,0,0,18,962,148533,2756,0
A1977,31-05-2023,99884,Self-Employed,31,60,2,471,2,0,0,1,2415,14475,29452,0
A1978,01-06-2023,79736,Employed,29,48,1,323,2,0,1,10,253,146071,10695,0
A1979,02-06-2023,43173,Employed,8,36,3,599,4,0,0,27,1177,31557,4277,0
A1980,03-06-2023,73099,Employed,23,60,0,464,3,0,0,8,1129,25656,41339,1
A1981,04-06-2023,49588,Employed,5,36,0,485,1,0,0,5,1358,6906,73838,0
A1982,05-06-2023,53694,Employed,0,60,3,662,3,0,0,7,768,94845,1722,0
A1983,06-06-2023,208039,Employed,11,72,2,376,1,0,0,25,2685,14379,77716,1
A1984,07-06-2023,74096,Unemployed,25,48,0,392,1,1,0,10,918,6597,49230,0
A1985,08-06-2023,31926,Employed,25,48,1,574,2,0,0,7,369,23156,38989,0
A1986,09-06-2023,84075,Employed,21,96,2,285,4,0,0,27,2504,11828,18303,0
A1987,10-06-2023,52786,Employed,24,24,2,344,2,0,0,25,517,45018,20958,1
A1988,11-06-2023,47865,Self-Employed,22,36,3,425,0,0,0,11,404,7365,47403,1
A1989,12-06-2023,54022,Employed,6,36,1,249,5,0,0,5,6529,70631,28344,0
A1990,13-06-2023,29609,Employed,21,24,0,170,6,1,0,7,1074,50632,62378,0
A1991,14-06-2023,46048,Employed,28,24,1,189,2,0,0,3,6511,12279,7562,0
A1992,15-06-2023,15000,Employed,26,60,2,250,5,0,0,16,1090,3565,12171,0
A1993,16-06-2023,51148,Employed,30,24,0,295,1,0,0,13,1280,16867,5509,1
A1994,17-06-2023,90796,Employed,27,36,4,345,1,0,0,9,625,14155,408094,1
A1995,18-06-2023,56507,Employed,22,120,0,511,2,0,0,17,218,18826,48752,0
A1996,19-06-2023,38162,Employed,27,24,3,242,5,0,0,5,1152,80577,6378,0
A1997,20-06-2023,71419,Employed,20,60,3,300,3,0,0,27,1022,21773,128273,0
A1998,21-06-2023,17664,Employed,9,24,0,280,2,0,0,17,3757,19998,3199,0
A1999,22-06-2023,22876,Employed,16,108,2,344,1,0,0,5,2946,70827,431336,0
A2000,23-06-2023,73636,Employed,8,84,0,297,2,0,0,6,2133,4765,680919,1
A2001,24-06-2023,77192,Employed,11,96,0,708,3,0,0,13,278,4495,147593,1
A2002,25-06-2023,82855,Employed,16,72,2,658,3,0,0,13,99,13565,166003,1
A2003,26-06-2023,37135,Employed,5,36,5,202,4,0,0,29,1010,27312,17328,0
A2004,27-06-2023,108752,Employed,13,36,1,375,2,0,0,6,296,41296,5611,1
A2005,28-06-2023,19217,Employed,0,24,1,519,3,0,0,8,834,8257,1740,0
A2006,29-06-2023,42677,Employed,21,36,4,235,3,0,0,17,1661,81119,4996,0
A2007,30-06-2023,68655,Employed,19,60,1,257,0,0,0,3,528,4107,80642,1
A2008,01-07-2023,54366,Employed,6,60,2,355,3,0,0,6,60,3976,344574,0
A2009,02-07-2023,22762,Unemployed,24,72,2,616,3,0,0,20,1753,37805,80810,0
A2010,03-07-2023,201487,Employed,31,120,0,1258,2,0,0,13,604,5480,171188,1
A2011,04-07-2023,37867,Employed,0,72,2,550,2,0,0,14,1234,109840,3205,0
A2012,05-07-2023,37539,Employed,4,24,0,543,0,0,1,6,4360,7989,30690,0
A2013,06-07-2023,68405,Employed,9,12,2,744,3,0,0,26,956,11249,17955,0
A2014,07-07-2023,127750,Employed,4,36,2,647,0,0,0,23,515,10967,32773,1
A2015,08-07-2023,60088,Employed,27,60,0,524,1,0,0,19,733,1434,26425,1
A2016,09-07-2023,97735,Employed,15,60,0,511,3,0,0,22,5119,34274,53921,1
A2017,10-07-2023,31330,Employed,13,84,2,434,2,0,0,27,2273,17953,42816,0
A2018,11-07-2023,109526,Employed,0,36,0,801,1,0,1,13,2279,5702,63268,0
A2019,12-07-2023,51205,Employed,27,24,3,325,2,0,0,8,693,59170,30427,0
A2020,13-07-2023,46009,Employed,2,36,2,514,3,0,0,17,751,6631,16619,0
A2021,14-07-2023,41222,Self-Employed,19,48,1,523,6,0,0,4,363,55351,34323,0
A2022,15-07-2023,57264,Employed,19,48,4,244,0,0,0,9,3836,37847,5355,0
A2023,16-07-2023,46345,Employed,37,48,0,399,4,0,0,24,2679,15476,1037,0
A2024,17-07-2023,45655,Employed,0,60,0,261,2,0,0,26,2020,13881,121626,0
A2025,18-07-2023,41914,Employed,0,12,2,305,3,0,0,24,2854,87744,4740,0
A2026,19-07-2023,28030,Employed,20,96,4,590,2,0,0,14,134,41187,10814,0
A2027,20-07-2023,52377,Employed,41,60,1,257,2,0,0,5,1423,19452,62404,1
A2028,21-07-2023,17611,Employed,28,108,0,316,1,0,0,14,347,11168,10325,0
A2029,22-07-2023,27693,Employed,22,84,1,263,4,0,0,28,292,10580,14301,0
A2030,23-07-2023,43248,Employed,12,60,0,311,3,0,0,26,4177,144462,148355,0
A2031,24-07-2023,98236,Self-Employed,30,36,4,142,3,0,0,25,1491,73715,6916,1
A2032,25-07-2023,25102,Employed,2,60,0,413,1,0,0,2,162,23520,3677,0
A2033,26-07-2023,42957,Employed,22,72,0,370,3,0,0,29,2010,74602,5957,0
A2034,27-07-2023,102660,Self-Employed,23,36,4,736,3,0,0,27,629,21198,103938,1
A2035,28-07-2023,72039,Employed,27,60,1,909,3,0,0,22,935,114935,5926,0
A2036,29-07-2023,82591,Employed,50,36,1,409,3,0,0,7,2261,22400,7010,1
A2037,30-07-2023,44001,Employed,21,108,3,437,4,0,0,13,1105,132026,3885,0
A2038,31-07-2023,37023,Employed,10,72,3,264,3,0,0,6,410,110999,5188,0
A2039,01-08-2023,75193,Employed,15,60,1,1069,2,0,0,29,4521,29732,3828,0
A2040,02-08-2023,124156,Employed,0,60,2,155,6,0,0,11,904,49487,16541,1
A2041,03-08-2023,91824,Employed,9,60,0,644,4,0,0,9,1263,54570,75942,1
A2042,04-08-2023,189154,Employed,11,60,2,411,2,0,0,12,3706,20156,22443,1
A2043,05-08-2023,118125,Employed,10,12,2,385,2,0,0,15,2425,48440,32362,1
A2044,06-08-2023,44198,Employed,19,24,0,601,4,0,0,3,1447,10721,46317,0
A2045,07-08-2023,18451,Employed,10,36,2,316,4,0,0,29,647,115607,242324,0
A2046,08-08-2023,77606,Self-Employed,28,48,1,472,5,0,0,1,874,20037,6691,0
A2047,09-08-2023,119213,Employed,19,12,3,256,2,0,0,7,1993,13212,52989,1
A2048,10-08-2023,15000,Employed,15,60,2,309,2,0,0,20,734,40605,8411,0
A2049,11-08-2023,18955,Employed,13,120,2,290,5,0,0,28,1684,103231,140009,0
A2050,12-08-2023,36128,Employed,21,60,3,292,0,0,0,27,2062,24397,113519,0
A2051,13-08-2023,35726,Employed,24,108,1,398,2,0,1,3,1621,12258,6266,0
A2052,14-08-2023,17147,Employed,6,60,1,400,2,0,0,18,524,32839,46331,0
A2053,15-08-2023,51910,Employed,7,12,2,396,1,0,0,6,2431,99681,7010,0
A2054,16-08-2023,80554,Employed,14,72,0,228,2,0,0,5,845,70234,267432,0
A2055,17-08-2023,34529,Unemployed,0,36,0,299,2,0,0,1,7091,3435,6537,0
A2056,18-08-2023,15782,Employed,11,36,0,166,3,0,0,10,992,3486,49655,0
A2057,19-08-2023,56650,Employed,13,48,5,1012,2,0,1,8,327,30472,12714,0
A2058,20-08-2023,29825,Employed,30,60,1,315,4,0,0,23,326,10100,368979,0
A2059,21-08-2023,27481,Employed,21,36,3,2390,1,0,1,4,2499,32945,31898,0
A2060,22-08-2023,80380,Employed,19,48,2,328,3,0,0,14,116,42344,4593,1
A2061,23-08-2023,98952,Employed,29,36,1,391,7,0,1,12,4481,13165,345605,1
A2062,24-08-2023,34958,Employed,14,48,1,312,3,0,0,5,460,71307,4229,0
A2063,25-08-2023,78820,Employed,23,84,0,290,2,0,0,12,1138,16316,7780,1
A2064,26-08-2023,27063,Employed,14,48,0,273,2,0,0,18,202,118913,8067,0
A2065,27-08-2023,48542,Employed,18,72,1,150,3,0,0,12,1081,34396,466894,1
A2066,28-08-2023,33027,Employed,8,48,2,555,1,0,0,20,388,90460,16716,0
A2067,29-08-2023,17103,Employed,0,36,3,906,4,0,0,3,1828,2512,86670,0
A2068,30-08-2023,27107,Employed,20,72,5,448,1,0,0,10,2344,41006,38459,0
A2069,31-08-2023,70866,Employed,33,60,0,996,3,0,0,6,241,26982,201705,1
A2070,01-09-2023,19427,Employed,29,108,3,503,4,0,0,12,1988,8917,240870,0
A2071,02-09-2023,46451,Employed,30,60,1,462,0,0,0,2,1985,61935,7196,0
A2072,03-09-2023,111389,Employed,33,96,0,268,4,0,0,7,8364,20593,47429,1
A2073,04-09-2023,37884,Employed,16,12,2,428,2,0,0,28,6266,229303,4811,0
A2074,05-09-2023,18380,Employed,22,60,1,400,5,0,0,17,2392,37779,9899,0
A2075,06-09-2023,31619,Employed,9,72,2,184,7,0,0,5,2179,12277,62591,0
A2076,07-09-2023,73069,Employed,13,120,2,362,4,0,0,9,623,104389,58765,0
A2077,08-09-2023,25671,Employed,25,12,1,448,0,0,0,8,1438,44541,155251,0
A2078,09-09-2023,135320,Employed,30,48,2,462,4,1,0,7,527,401820,1709,0
A2079,10-09-2023,89962,Employed,12,48,4,287,1,0,0,19,1366,18984,1361,1
A2080,11-09-2023,46636,Employed,12,108,2,616,1,0,0,2,6078,9455,5898,0
A2081,12-09-2023,58273,Self-Employed,18,36,0,368,1,0,1,26,399,42710,3616,0
A2082,13-09-2023,48985,Unemployed,23,60,1,396,4,0,0,3,1434,15680,28510,0
A2083,14-09-2023,53870,Employed,0,60,0,614,2,0,0,3,9216,39695,37282,0
A2084,15-09-2023,48204,Employed,0,60,0,218,2,0,1,23,4298,10916,18883,0
A2085,16-09-2023,70433,Employed,11,24,1,468,3,0,0,8,572,25027,75942,0
A2086,17-09-2023,94499,Employed,7,60,1,96,3,0,0,18,11563,27862,16329,0
A2087,18-09-2023,29863,Employed,12,48,2,709,3,0,0,5,5852,16522,32906,0
A2088,19-09-2023,29437,Self-Employed,18,48,3,413,2,0,0,24,796,37878,5217,0
A2089,20-09-2023,36177,Employed,10,36,4,514,2,0,0,1,287,23754,40782,0
A2090,21-09-2023,35258,Employed,35,36,4,255,5,0,1,8,1922,94402,7218,0
A2091,22-09-2023,113456,Employed,21,36,0,447,0,0,0,16,2168,8352,85906,1
A2092,23-09-2023,16154,Employed,21,36,0,423,4,0,0,20,1851,28993,189744,0
A2093,24-09-2023,68113,Employed,26,60,0,453,8,0,0,19,1583,5739,79121,0
A2094,25-09-2023,110993,Employed,0,60,0,222,3,0,0,10,4106,4981,14494,0
A2095,26-09-2023,25275,Employed,27,24,2,387,1,0,0,27,342,49230,15223,0
A2096,27-09-2023,142514,Self-Employed,13,84,1,565,2,0,1,24,2312,37125,173827,0
A2097,28-09-2023,92471,Employed,24,12,0,652,5,0,0,29,207,27747,24782,1
A2098,29-09-2023,33508,Employed,5,60,2,160,1,0,0,27,1552,11060,30742,0
A2099,30-09-2023,49027,Employed,0,60,4,244,3,0,0,11,6223,53819,7378,0
A2100,01-10-2023,30917,Employed,28,60,0,895,3,0,0,3,1615,23082,7600,0
A2101,02-10-2023,29446,Self-Employed,23,60,0,384,4,0,0,23,2124,1342,36607,0
A2102,03-10-2023,39523,Employed,8,60,4,191,4,0,0,2,1052,8953,32521,0
A2103,04-10-2023,103543,Employed,5,36,2,589,3,0,0,23,943,11902,98634,0
A2104,05-10-2023,32451,Employed,32,60,0,280,2,0,0,20,642,20204,87395,0
A2105,06-10-2023,42111,Employed,3,48,2,306,6,0,0,5,2897,14137,342815,0
A2106,07-10-2023,33884,Employed,40,24,0,241,5,0,0,5,829,4495,50956,0
A2107,08-10-2023,64775,Employed,6,96,3,559,6,0,0,9,1967,35736,29475,0
A2108,09-10-2023,86660,Employed,28,36,2,326,1,0,0,2,2375,67037,1092,0
A2109,10-10-2023,26023,Employed,15,96,1,239,6,0,0,22,1020,46933,250104,0
A2110,11-10-2023,15000,Employed,22,60,0,1116,3,0,0,17,1105,47044,74120,0
A2111,12-10-2023,40494,Employed,8,84,1,1103,1,0,0,17,482,17015,55873,0
A2112,13-10-2023,43720,Employed,15,24,4,300,4,0,0,29,1290,134257,4435,0
A2113,14-10-2023,45172,Employed,17,48,3,195,4,0,0,4,1260,51422,197370,1
A2114,15-10-2023,42545,Employed,6,72,4,356,1,0,0,8,762,119970,1982,0
A2115,16-10-2023,66694,Employed,27,48,2,191,2,0,0,21,112,16349,19919,0
A2116,17-10-2023,30168,Employed,11,24,5,311,0,0,0,5,1451,39286,73421,0
A2117,18-10-2023,18182,Employed,18,72,2,562,3,0,0,11,3762,226404,4572,0
A2118,19-10-2023,58373,Self-Employed,5,96,1,670,0,0,0,11,6212,13319,76032,0
A2119,20-10-2023,25546,Employed,0,72,4,365,1,0,0,14,269,1267,37129,0
A2120,21-10-2023,22948,Employed,16,12,0,617,1,0,0,4,972,26121,13765,0
A2121,22-10-2023,95132,Employed,42,48,0,359,3,0,0,4,1931,26910,9526,1
A2122,23-10-2023,25796,Employed,25,84,5,254,4,0,0,22,372,49642,234430,0
A2123,24-10-2023,36030,Employed,15,96,0,399,6,0,1,6,900,2993,830288,0
A2124,25-10-2023,150609,Employed,14,120,1,780,1,0,1,2,1669,23150,49246,0
A2125,26-10-2023,146666,Employed,18,36,0,157,3,0,1,13,20390,12800,12035,1
A2126,27-10-2023,117618,Employed,22,72,2,173,2,0,0,19,803,147703,9418,1
A2127,28-10-2023,64753,Employed,2,36,1,1248,1,0,0,5,487,22669,19011,0
A2128,29-10-2023,118872,Employed,27,48,3,566,2,0,0,1,679,20117,220723,1
A2129,30-10-2023,183810,Employed,26,96,2,375,2,0,0,19,1218,28355,7225,1
A2130,31-10-2023,108049,Employed,27,60,2,524,4,0,0,4,515,64051,10270,1
A2131,01-11-2023,62106,Employed,21,72,1,368,6,0,1,8,4171,12299,12681,0
A2132,02-11-2023,76794,Employed,20,120,0,371,1,1,1,26,246,9147,29396,0
A2133,03-11-2023,49157,Employed,24,36,0,556,3,0,0,18,189,23685,5826,0
A2134,04-11-2023,51117,Employed,27,48,3,832,2,0,0,23,594,16080,199959,0
A2135,05-11-2023,39303,Employed,11,48,0,546,2,0,0,16,2049,56200,8190,0
A2136,06-11-2023,43673,Self-Employed,12,36,0,245,3,0,0,22,599,3728,11877,0
A2137,07-11-2023,47075,Employed,18,60,1,670,1,0,0,28,1824,14798,158701,0
A2138,08-11-2023,130696,Unemployed,34,60,1,314,3,0,0,6,357,5258,59821,1
A2139,09-11-2023,25970,Employed,2,48,1,655,2,0,1,23,1567,10450,22174,0
A2140,10-11-2023,53508,Unemployed,2,24,2,497,3,0,0,23,413,5872,131004,1
A2141,11-11-2023,25751,Employed,20,72,1,393,1,0,1,12,5014,37930,89191,0
A2142,12-11-2023,21124,Self-Employed,19,48,0,263,4,0,0,24,2858,19229,162174,0
A2143,13-11-2023,93567,Employed,23,36,2,307,4,0,0,24,1012,14482,68658,0
A2144,14-11-2023,118021,Unemployed,17,60,1,313,4,0,1,20,3385,14141,38278,1
A2145,15-11-2023,38645,Employed,14,48,2,323,3,0,0,12,54,33167,68356,0
A2146,16-11-2023,72159,Unemployed,37,48,2,456,3,1,0,12,8575,13278,112720,0
A2147,17-11-2023,37332,Employed,0,36,3,368,4,0,0,26,1051,12905,49785,0
A2148,18-11-2023,34513,Self-Employed,9,36,1,533,4,0,0,1,1059,8965,113972,0
A2149,19-11-2023,39714,Employed,15,72,2,508,8,0,0,1,3204,103940,10418,0
A2150,20-11-2023,49540,Employed,0,108,0,835,4,0,0,5,596,36707,53888,0
A2151,21-11-2023,37385,Employed,19,96,3,453,1,0,0,17,438,13778,21001,0
A2152,22-11-2023,72861,Employed,39,60,4,653,7,0,0,26,779,5497,79939,0
A2153,23-11-2023,117545,Employed,18,48,4,220,3,0,0,17,315,17987,81147,1
A2154,24-11-2023,57297,Employed,18,84,3,504,4,0,0,18,3767,29358,1327,0
A2155,25-11-2023,36517,Employed,1,60,2,533,5,0,0,7,2582,21912,43405,0
A2156,26-11-2023,51292,Employed,9,72,4,463,6,0,1,23,987,17677,132454,0
A2157,27-11-2023,43324,Employed,17,36,0,318,4,0,0,2,2791,21736,56204,0
A2158,28-11-2023,15000,Employed,11,36,2,489,2,1,0,26,1877,8210,142686,0
A2159,29-11-2023,153804,Unemployed,32,120,3,432,4,0,0,23,708,7708,40156,1
A2160,30-11-2023,24681,Employed,24,96,2,453,3,0,0,24,1353,45875,9452,0
A2161,01-12-2023,17477,Employed,1,48,1,280,2,0,0,26,1589,6309,36947,0
A2162,02-12-2023,59734,Employed,17,24,3,734,3,0,0,20,1367,21565,8446,0
A2163,03-12-2023,46844,Employed,20,24,0,470,1,0,0,2,1331,20761,33218,0
A2164,04-12-2023,131352,Employed,31,48,4,665,3,0,0,27,9811,30410,3853,1
A2165,05-12-2023,75167,Employed,38,48,0,519,5,0,0,3,2224,30961,31883,0
A2166,06-12-2023,77264,Employed,3,96,1,220,3,0,0,26,1303,5051,166054,0
A2167,07-12-2023,85219,Employed,10,48,0,433,5,0,0,6,192,4175,230013,0
A2168,08-12-2023,79727,Employed,0,12,1,288,3,0,0,7,1728,12621,145057,1
A2169,09-12-2023,21583,Employed,14,48,1,343,7,0,0,5,4910,10326,96143,0
A2170,10-12-2023,65814,Employed,25,96,2,175,1,0,0,5,849,43411,19349,0
A2171,11-12-2023,23638,Self-Employed,31,48,0,476,4,0,0,14,340,26991,6139,0
A2172,12-12-2023,163935,Employed,19,72,3,729,3,0,0,26,44,9108,65032,1
A2173,13-12-2023,67333,Employed,13,48,0,254,3,1,0,10,110,23314,52858,0
A2174,14-12-2023,36900,Employed,19,48,0,478,3,0,0,2,2220,13021,56726,0
A2175,15-12-2023,60413,Employed,9,36,0,405,3,0,0,28,266,24202,263319,1
A2176,16-12-2023,29216,Self-Employed,43,24,4,583,4,0,0,1,4268,34371,46167,0
A2177,17-12-2023,19381,Employed,0,60,3,415,2,0,0,8,6880,1550,39164,0
A2178,18-12-2023,70864,Employed,18,12,0,461,2,0,0,21,523,19281,47483,0
A2179,19-12-2023,30308,Employed,42,96,4,362,6,0,0,23,482,4359,41281,0
A2180,20-12-2023,49272,Employed,18,72,0,151,1,0,0,16,5136,15785,232825,1
A2181,21-12-2023,56078,Employed,17,36,1,225,2,0,0,22,707,42494,314456,1
A2182,22-12-2023,36588,Employed,13,48,1,278,3,0,0,14,631,10886,84864,0
A2183,23-12-2023,20115,Employed,15,36,1,540,1,0,0,13,1876,14964,86640,0
A2184,24-12-2023,61161,Employed,33,108,3,642,4,1,0,11,849,12540,72754,0
A2185,25-12-2023,39817,Employed,0,48,2,326,6,0,0,14,1033,39100,18989,0
A2186,26-12-2023,85176,Employed,34,12,0,402,4,0,0,19,236,264619,3676,1
A2187,27-12-2023,220956,Unemployed,0,60,4,346,2,0,1,29,1141,14182,44313,1
A2188,28-12-2023,15000,Employed,17,48,1,331,4,0,1,26,1113,2972,41471,0
A2189,29-12-2023,30580,Unemployed,10,36,0,188,2,0,0,2,1815,21960,5101,0
A2190,30-12-2023,47291,Employed,26,60,1,369,3,0,1,20,3443,3389,338995,0
A2191,31-12-2023,69743,Employed,0,84,3,91,5,0,0,11,371,13884,136860,1
A2192,01-01-2024,57180,Employed,23,12,2,396,3,0,0,7,1681,12710,95264,0
A2193,02-01-2024,102847,Employed,41,72,3,645,6,1,0,19,355,21098,43558,0
A2194,03-01-2024,15624,Employed,2,60,0,203,3,0,0,11,1638,25991,10262,0
A2195,04-01-2024,36961,Employed,21,12,0,322,3,0,0,27,784,4474,44889,0
